,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
103,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad","This Apartment can be a comfortable and affordable home for your family. It is a 3 BHK unit available on rent at Banjara Hills in Hyderabad. This Apartment comes with a plethora of amenities to meet your modern lifestyle needs. It is Furnished. It is located on floor 1 of the building having a total 5 floors. Offering beautiful city views, this 3 BHK has been thoughtfully developed. It includes a total of 3 bedrooms and 3 bathroom. It also includes 2 balcony that can be a perfect place for relaxation. The built-up area of the Apartment is 2000 Square feet. The Apartment is available for a mont...Read more","55,000",3,2000,Flat, Semi Furnished ,Gouri Shankar Nagar Colony, Banjara Hills
104,"Bhawani Nagar, Narayanguda,Hyderabad","This falt for rent in himayath nagar

2bhk  flat for rent

2bath 2bed roms

kitchen 

near by main road

and bus stop

24 hours water no power cut 

lift car parking

for more details please contact  us Read more","20,000",2,1000,Flat, Unfurnished ,Bhawani Nagar, Narayanguda
105,"SvS consultancy ,Khanamet, Kothaguda,Hyderabad","Neat and clean, this Semi-furnished property is just what you were looking for. This property which is a 2 BHK Apartment is located in the best part of the city. The property is on floor number 3 in a building with 6 floors. Luxury lifestyle in the heart of Hyderabad available now. Affordable rental property available in Kothaguda, check out now. Security charges of Rs 28000 is applicable. Property for rent available at an unbeatable price of Rs 26444. TThis 1300 sq ft (Carpet Area) property has big, sprawling rooms. This 1450 sq ft built up area property is available on rent at an affordable ...Read more","26,444",2,1450,Flat, Semi Furnished ,SvS consultancy , Kothaguda
106,"Megana apartment,Begumpet, Hyderabad","This well-built,sprawing Semi-furnished property can be yours. Come forward to make this coveted address your home. This beautiful 2 BHK is available on rent now. Rent this Apartment that matches your requirements and budget. Sprawling property available at affordable rent in Begumpet. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. The property is on the floor number 3 in a building which has 6 floors. One month's rent, which is Rs 36000, will be collected as security charges. Property available for property at Rs 18000. Contact for best deal...Read more","18,000",2,1200,Flat, Semi Furnished ,Megana apartment, Begumpet
107,"Near by main road 1bhk ,Krishna Nagar, Yousufguda,Hyderabad","Check out this Independent Floor available for rent in Yousufguda in Hyderabad. It is a 1 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is Furnished. With numerous new-age amenities and green surroundings, this Independent Floor provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 1 bedroom. There are 1 bathroom and 0 balcony. It has a built-up area of 580 Square feet. The carpet area is 510 Square feet. The Independent Floor is built on 1 floor. The building has a tota...Read more","7,200",1,580,Independent, Unfurnished ,Near by main road 1bhk , Yousufguda
108,"Kondapur Raghavendra colony,Raghavendra Colony, Kondapur,Hyderabad","We are property rental consultants. We can provide all kinds of properties like 1BHK,2BHK & 3BHK. Semi Furnished, Fully furnished and unfurnished. For families, bachelors and office purpose. As we are consultants we charge brokerage also. Kindly contact us for more details. Thank youRead more","17,000",2,1300,Flat, Semi Furnished ,Kondapur Raghavendra colony, Kondapur
109,"Luxury Apartment,Police Colony, Kondapur,Hyderabad",Posted by Raju rentals kondapur Hyderabad New houges good miatnas 24 by 7 whtara nera by market nerby schools all offes Nara lift car parking power backup lift and nara by schools Sri Ram Nager colony botanical garden and ragvdrhara colony 1bhk 2bhk 3bhk available sim furnished flats and full furnished flats availableRead more,"19,000",2,1400,Flat, Semi Furnished ,Luxury Apartment, Kondapur
110,"Police Colony, Kondapur,Hyderabad","Semi-furnished property available near metro. This property which is a 1 BHK Apartment is located in the best part of the city. This East facing property has 1 baths, servant room and is 1 years old. Check out Kondapur for renting beautiful homes at affordable prices. Homes that define aspirational lifestyle now in Hyderabad. The property is on the floor number 1 in a building which has 5 floors. An amount of Rs 11500 levied as security charges is applicable. Amount of Rs 11500 to be paid as rent. This 750 sq ft built up area property is available on rent at an affordable price. Looking for sp...Read more","11,500",1,750,Flat, Semi Furnished ,Police Colony, Kondapur
111,"Ameerpet, Hyderabad","Nestled in a serene atmosphere, this 1 BHK Apartment is available for rent. This well-built,sprawing Unfurnished property can be yours. Budget properties on rent is now in Hyderabad. The property is on the floor number 2 in a building which has 4 floors. Spacious property available for rent only in Ameerpet. Your dream 644 sq ft (Carpet Area) property is now available at an affordable rent. Searching for up to 664 sq ft built up area property at an affordable rent, worry no more. This affordable property is available on rent, check out these 7 pictures. Budget home on rent available from 2021-...Read more","7,500",1,664,Flat, Unfurnished ,Ameerpet, Ameerpet
112,"Pooja Residency,Prakash Nagar, Begumpet,Hyderabad",2bhk brand new flat rent in begumpet near by metro station marble flooring and 24hrs water parking good location near bus stop  another details please call me Read more,"14,000",2,1250,Flat, Semi Furnished ,Pooja Residency, Begumpet
113,"Mamatha Nagar Colony, Nagole,Hyderabad","Best Semi-furnished property available here. Spacious Independent Floor available at affordable rent. Rent 1 BHK near your office location. Homes for rent available in Hyderabad. The property is on the floor number 1 in a building which has 2 floors. Affordable rental property available in Nagole, check out now. Monthly rent of Rs 5000 is applicable. No negotiation on security charges of Rs 10000. This property has a built up area of 390 sq ft and is a perfect fit for your needs. This time shift to a spacious 370 sq ft (Carpet Area) property available at an affordable rent. Check out 6 photogr...Read more","5,000",1,390,Independent, Semi Furnished ,Mamatha Nagar Colony, Nagole
114,"Laxmi Nagar, Kondapur,Hyderabad","1bhk semi  furnished flat for rent in kondapur Hyderabad Telangana . Located in all 1rk 1bhk 2bhk 3bhk fully furnished semi furnished unfurnished property available .ready to move. ,available..24by7 security CCTV and 24by7 water . Power 🏗Bank  Car parking near by main road Google office and tech mahendra and DLF . Wipro 🏢Circle🏢
Brokerage GST bill available
Any intersted Shri Krishna rentalsRead more","11,000",1,750,Flat, Semi Furnished ,Laxmi Nagar, Kondapur
115,"Sahara real estate consultant,Kavuri Hills, Madhapur,Hyderabad","It is a Semi-furnished 4 BHK Apartment. Budget properties on rent is now in Hyderabad. Check out this affordable property now available at Kaveri Hills Madhapur Hyderabad. The property is on the floor number 1 in a building which has 4 floors. Affordable rental house available in Madhapur. Amount of Rs 216000 will be collected from tenant as security charges. Monthly rent is Rs 72000. Contact for more information. Searching for up to 2780 sq ft built up area property at an affordable rent, worry no more. Best tiles in all 4 bathrooms. Big and spacious home available for rent, check out these 1...Read more","72,000",4,2780,Flat, Semi Furnished ,Sahara real estate consultant, Madhapur
116,"Orange properties,Financial District, Nanakaramguda,Hyderabad","Newly built Semi-furnished property available at best rent. This time shift to a Apartment that you aspire for. Looking for affordably priced 3 BHK on rent? Luxury lifestyle in the heart of Hyderabad available now. Property for rent available in Nanakramguda. The property is on the floor number 12 in a building which has 29 floors. This property is available for rent in Financial District, Nanakram Guda, Gachibowli Hyderabad. Amount of Rs 42000 to be paid as rent. Rs 90000 will be taken as security money. Searching for up to 1960 sq ft built up area property at an affordable rent, worry no mor...Read more","42,000",3,1960,Flat, Semi Furnished ,Orange properties, Nanakaramguda
117,"Raghavendra colony Kondapur,Police Colony, Kondapur,Hyderabad",4bhk indipendent duplex house for rent in Raghavendra colony KondapurRead more,"60,000",4,3100,Independent, Semi Furnished ,Raghavendra colony Kondapur, Kondapur
118,"Gachibowli, Hyderabad",NA,"20,500",2,1000,Flat, Semi Furnished ,Gachibowli, Gachibowli
119,"Fair Lands, Serilingampally,Hyderabad",NA,"21,000",2,1200,Flat, Semi Furnished ,Fair Lands, Serilingampally
120,"Nallagandla, Hyderabad",NA,"23,000",3,1640,Flat, Unfurnished ,Nallagandla, Nallagandla
121,"Raghavendra colony junction road,Raghavendra Colony, Kondapur,Hyderabad",2bhk semi furniture brand new houseRead more,"16,000",2,1358,Flat, Semi Furnished ,Raghavendra colony junction road, Kondapur
122,"Vivek Nagar, Kukatpally,Hyderabad",NA,"8,000",1,500,Flat, Semi Furnished ,Vivek Nagar, Kukatpally
123,"Mantri Celestia,Financial District, Nanakaramguda,Hyderabad",East facing fully furnished flat of 3bhk in which one master bedroom is available. Room is available in a gated community. Read more,"8,500",1,1180,Flat, Fully Furnished ,Mantri Celestia, Nanakaramguda
124,"Police Colony, Kondapur,Hyderabad",1bhk newly constructed branded flat for rent in Kondapur with all ammunities 24/7 water and full securityRead more,"7,000",1,750,Flat, Semi Furnished ,Police Colony, Kondapur
125,"Ayyappa society,Mega Hills, Madhapur,Hyderabad","Spacious 1 BHK property available for rent. Affordable rental options are here. Choose this Apartment. Best Semi-furnished property available for rent at an affordable price. The property is on floor number 5 in a building with 5 floors. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. Property for rent available in Madhapur. Contact the owner for the exact price. Rent of Rs 12000 is quoted. Security amount of Rs 24000 is fixed. Rent this 800 sq ft built up area property at an affordable price. Best tiles in all 1 bathrooms. Budget home on rent...Read more","12,000",1,800,Flat, Semi Furnished ,Ayyappa society, Madhapur
126,"Sunshine Services ,Kukatpally, Hyderabad","2 bhk semi furnished with lift and car parking very close to forum mall 24 hours water, car parking available for more details contact Tejash Rakesh.
Thanking u 
Team sunshine Read more","16,000",2,1200,Flat, Semi Furnished ,Sunshine Services , Kukatpally
127,"Om sri sai ram rentals,Krishna Giri Enclave, Tarnaka,Hyderabad","Property for rent available. Contact for Semi-furnished property. This property which is a 2 BHK Apartment is located in the best part of the city. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. The property is on the floor number 2 in a building which has 4 floors. Find best property at affordable rates in Tarnaka. Rent of Rs 16000 excludes maintenance charges. Security charges of Rs 16000 is applicable. Find best 1010 sq ft (Carpet Area) property at an affordable rent here. Rent this 1010 sq ft built up area property at an affordable price....Read more","16,000",2,1010,Flat, Semi Furnished ,Om sri sai ram rentals, Tarnaka
128,"Sir Sai nath in Madhapur,Mega Hills, Madhapur,Hyderabad","This is a 2 BHK Fully Furnished Apartment available for rent. Properties on rent in Hyderabad, contact for more information. Property for rent available in Madhapur. The property is on floor number 2 in a building with 5 floors. Amount of Rs 22000 to be paid as rent. Security amount of Rs 44000 is fixed. This is a beautiful, spacious 1650 sq ft built up area property available within your price range. This time shift to a spacious 850 sq ft (Carpet Area) property available at an affordable rent. Best tiles in all 2 bathrooms. Beautiful, modern home available at affordable rent, check these 10 ...Read more","22,000",2,1650,Flat, Fully Furnished ,Sir Sai nath in Madhapur, Madhapur
129,"Gachibowli, Hyderabad",NA,"13,500",1,600,Flat, Semi Furnished ,Gachibowli, Gachibowli
130,"Banjara hills rd 1,Green Valley, Banjara Hills,Hyderabad","This Semi-furnished property speaks of a bespoke lifestyle. Make it yours. Rent this Apartment that matches your requirements and budget. Looking for affordably priced 4 BHK on rent? Property for rent available in Banjara Hills. The property is on floor number 3 in a building with 5 floors. Homes for rent available in Hyderabad. Rent of Rs 85000 excludes maintenance charges. Security amount of Rs 365000 is fixed. This is a beautiful, spacious 2800 sq ft built up area property available within your price range. Budget home on rent available from 2022-02-16. Your home hunting ends now. Check the...Read more","85,000",4,2800,Flat, Semi Furnished ,Banjara hills rd 1, Banjara Hills
131,"Mega Hills, Madhapur,Hyderabad","1BHK VERY SPACIOUS FLAT FOR 13,500/-RENT INCLUDING MAINTENANCE,
IN AYYAPPA SOCIETY MADHAPUR,
NEAR 100 FEET ROAD, 
1.5KM FROM HITECH CITY,
BEAUTIFUL FLAT AWESOME VENTILATION,
FLAT ON 1ST FLOOR, EAST FACING,
ROAD SIDE BIG BALCONY, OTHER BALCONY IN KITCHEN AREA,
HALL IS VERY SPACIOUS,
PROPER PARKING PLACE,
ONLY FOR FAMILY, 
24/7 WATER, SECURITY, LIFT, TWO WHEELER PARKING,
MORE DETAILS CONTACT, Read more","13,500",1,700,Flat, Unfurnished ,Mega Hills, Madhapur
132,"Mayur Marg, Begumpet,Hyderabad","Good flat in prime location near to schools, hospitals, shopping malls and very easy communication   with maintain apartment Read more","7,000",1,650,Flat, Semi Furnished ,Mayur Marg, Begumpet
133,"Nonam,Himayat Nagar, Hyderabad","Finding an Affordable Semi-furnished property is no more difficult. Rent this Apartment that matches your requirements and budget. This 3 BHK property will let you live life king size. Affordable rental house available in Himayat Nagar. Homes for rent available in Hyderabad. The property is on floor number 3 in a building with 5 floors. Rent of Rs 27000 excludes maintenance charges. Security amount of Rs 27000 will be charged. Check out this 1600 sq ft built up area property, available at an affordable rent. Budget home on rent available from 2022-02-05. Beautiful, modern home available at aff...Read more","27,000",3,1600,Flat, Semi Furnished ,Nonam, Himayat Nagar
134,"Raj krishna residency ,Maruthi Nagar, Kothapet,Hyderabad","Are you looking for Semi-furnished property on rent? Your search ends here. Nestled in a serene atmosphere, this 1 BHK Apartment is available for rent. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. Sprawling property available at affordable rent in Kothapet. The property is on the floor number 3 in a building which has 3 floors. Affordable property on rent with only Rs 36000 as security charges. Amount of Rs 12000 to be paid as rent excludes other monthly charges. Your search for a spacious 900 sq ft built up area property at an affordable p...Read more","12,000",1,900,Flat, Semi Furnished ,Raj krishna residency , Kothapet
135,"Vasanth Nagar Colony, Nizampet,Hyderabad","Spacious Semi Furnished property is available in rent at an affordable price.End your search near your workplace with Nestaway.Check this beautiful property on rent.It is a 2 BHK apartment in # with all the modern amenities.You don't have to step out of this society for any basic requirement.From grocery store to medical store everything is available inside this property.This property can be rented on full house.The rent of this property is 10000/bed or 20000 for the entire house.It is located in Pragathi Nagar,hyderabad.
Read more","20,000",2,1100,Independent, Semi Furnished ,Vasanth Nagar Colony, Nizampet
136,"venkat ,Mega Hills, Madhapur,Hyderabad","Spacious 2 BHK property available for rent. Contact for Apartment near the metro station. Check out this beautifully designed Semi-furnished property. The property is on the floor number 4 in a building which has 5 floors. Looking for rental property in Hyderabad? House for rent available in Madhapur. Amount of Rs 40000 will be collected from tenant as security charges. This luxurious property is available at an affordable rent of Rs 20999. Best 1200 sq ft built up area property available at best rent, your search ends right here. Budget home on rent available from 2022-02-22. Check out these ...Read more","20,999",2,1200,Flat, Semi Furnished ,venkat , Madhapur
137,"mf apartment,Manikonda, Hyderabad","Immediate Occupancy 
Brand New One Spacious And Comfortable Semi-Furnished 2BHK Flat Available For Rent In Manikonda
House Amenities: Cupboards Fans Lights Geysers And Wardrobes More
For Family
Near To Schools Main RoadRead more","15,000",2,1100,Flat, Semi Furnished ,mf apartment, Manikonda
138,"Sai ganesh rentals ,Whitefields, Kondapur,Hyderabad","1 BHK Apartment available for rent.  Best Semi-furnished property available here. The property is on the floor number 1 in a building which has 5 floors. House for rent available in Kondapur. Budget properties on rent is now in Hyderabad. Security amount of Rs 11000 will be charged. Monthly rent is Rs 11000. Contact for more information. Check out this 750 sq ft built up area property, available at an affordable rent. This property is located very close to and will be available on rent from 2022-01-29. Looking for spacious home near your office? Check 5 photos of this property offering excelle...Read more","11,000",1,750,Flat, Semi Furnished ,Sai ganesh rentals , Kondapur
139,"R v nivasa,Laxmi Nagar, Kondapur,Hyderabad",Posted by Raju rentals kondapur Hyderabad New houges good miatnas 24 by 7 whtara nera by market nerby schools all offes Nara lift car parking power backup lift and nara by schools Sri Ram Nager colony botanical garden and ragvdrhara colony 1bhk 2bhk 3bhk available sim furnished flats and full furnished flats availableRead more,"15,000",2,1250,Flat, Semi Furnished ,R v nivasa, Kondapur
140,"Gachibowli, Hyderabad","Affordable 3 BHK available for rent. Rent this Independent Floor that matches your requirements and budget. Most coveted address now available for rent, contact for Unfurnished property. Check out Gachibowli for renting beautiful homes at affordable prices. The property is on the floor number 1 in a building which has 4 floors. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. No negotiation on security charges of Rs 150000. Monthly rent is Rs 80000. Contact for more information. It is spacious for a family and this property has a total carpet a...Read more","80,000",3,1250,Independent, Unfurnished ,Gachibowli, Gachibowli
141,"Soumya,Adda Gutta, East Marredpally,Hyderabad","Neat and clean, this Semi-furnished property is just what you were looking for. Looking for 2 BHK Apartment on rent near your workplace?  The property is on floor number 3 in a building with 5 floors. World-class property available for rent in Hyderabad. Find best property at affordable rates in Malkajgiri. Affordable property on rent with only Rs 40000 as security charges. The most affordable property in this location is now on rent for only Rs 20000. This 1050 sq ft built up area property is available on rent at an affordable price. There are 2 baths in this property. Check out these 8 photo...Read more","20,000",2,1050,Flat, Semi Furnished ,Soumya, East Marredpally
142,"Sanjeeva Reddy Nagar, Hyderabad",Affordable Apartment on rent available near your office. Newly built Unfurnished property available at best rent. Check out this sprawling 1 BHK property available for rent. Property on rent available at affordable in posh locality of Hyderabad. The property is on floor number 1 in a building with 4 floors. Spacious property available for rent only in Sanjeeva Reddy Nagar. Check out this affordable property with built up area of 550 sq ft on rent. Check out this 500 sq ft (Carpet Area) property with spacious rooms. Check out these 6 photos for this affordable property available on rent. All be...Read more,"7,000",1,550,Flat, Unfurnished ,Sanjeeva Reddy Nagar, Sanjeeva Reddy Nagar
143,"Laxmidurga Rentals ,Himayath Nagar, Hyderabad",Come forward to make this coveted address your home. This beautiful 2 BHK is available on rent now. Apartment for rent at a location you have always aspired to live in. Find an affordable Semi-furnished property here. The property is on the floor number 1 in a building which has 5 floors. Budget properties on rent is now in Hyderabad. Sprawling property available at affordable rent in Himayat Nagar. Big and spacious affordable property available for rent at Himayathnagar. Amount of Rs 25000 to be paid as rent. No negotiation on security charges of Rs 75000. Rent this 1350 sq ft built up area p...Read more,"25,000",2,1350,Flat, Semi Furnished ,Laxmidurga Rentals , Himayath Nagar
144,"Subhash Nagar, Trimalgherry,Hyderabad","Here is an excellent 3 BHK Apartment available for rent in Hyderabad. Surrounded by natural greens and equipped with numerous amenities, this rented 3 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Trimulgherry that enjoys good connectivity to major landmarks of the city. The Apartment is on the 2 floor. There is a total of 5 floors. The Apartment is designed as per modern construction standards. It has 3 bedrooms and 3 bathroom. The 3 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample sunlight and fresh ai...Read more","33,000",3,2300,Flat, Semi Furnished ,Subhash Nagar, Trimalgherry
145,"Krishna Giri Enclave, Tarnaka,Hyderabad","Good locality plenty of water available,near to metroRead more","15,000",2,1350,Flat, Fully Furnished ,Krishna Giri Enclave, Tarnaka
146,"Mayur Marg, Begumpet,Hyderabad","Looking for Apartment at pocket-friendly prices? Your search ends here. Your search for 3 BHK property near your workplace is over. Check out this beautiful property available on rent. Rent this fabulous Semi-furnished property at an affordable price. Homes for rent available in Hyderabad. The property is on floor number 2 in a building with 5 floors. Affordable rental house available in Begumpet. Rent this property offered at best rent, located at Begumpet. Rent this 1452 sq ft built up area property at an affordable price. Your search for affordable home ends right here! Check out these 7 pi...Read more","28,000",3,1452,Flat, Semi Furnished ,Mayur Marg, Begumpet
147," Ayyappa society ,Mega Hills, Madhapur,Hyderabad",2bhk fully furniture flat is available at ayyappa society which is available with lights fans cupboard gesear Ac 2 beds dinning table and with lift and car parking Read more,"25,000",2,1200,Flat, Fully Furnished , Ayyappa society , Madhapur
148,"Ameerpet near metro station,Ameerpet, Hyderabad",Well condition 1bhk rent in Ameerpet near metro station marble flooring 24hours water nice location it's sutabule family are batchlorsRead more,"7,000",1,550,Flat, Semi Furnished ,Ameerpet near metro station, Ameerpet
149,"Ayyappa society madhapur,Mega Hills, Madhapur,Hyderabad","2 bhk flat for rent in madhapur near CGR international school Ayyappa society, brand new flat ready to move family only.Read more","25,000",2,1250,Flat, Semi Furnished ,Ayyappa society madhapur, Madhapur
150,"Al hasnat society ,Al Hasnath Colony, Toli Chowki,Hyderabad","If you are looking for a modern house on rent in Hyderabad, this Apartment in Tolichowki can be your perfect home. It is a 2 BHK Apartment designed to meet your space and lifestyle needs. The 2 BHK unit is Furnished. This rented 2 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 1 out of a total 6 floors . The Apartment has 2 bedrooms and 2 bathroom. It also has 1 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Apartment. The carpet area of this unit is 900 Square feet....Read more","15,000",2,950,Flat, Unfurnished ,Al hasnat society , Toli Chowki
151,"Gachibowli, Hyderabad",It is a completely residential area. Venkateshwara temple and Mosque.Read more,"12,000",2,800,Flat, Unfurnished ,Gachibowli, Gachibowli
152,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad","Best Semi-furnished property available here. 3 BHK Independent Floor available for rent.  Affordable property available in Banjara Hills at unbelievable prices. Check out now. The property is on floor number 1 in a building with 2 floors. World-class property available for rent in Hyderabad. Big and spacious affordable property available for rent at Khartibad. Property available for property at Rs 35000. Contact for best deal.   Affordable property on rent with only Rs 35000 as security charges. Searching for up to 2400 sq ft built up area property at an affordable rent, worry no more. It is a...Read more","35,000",3,2400,Independent, Semi Furnished ,Gouri Shankar Nagar Colony, Banjara Hills
153,"Kothapet, Hyderabad",Looking for 2 BHK Apartment on rent near your workplace?  Best Semi-furnished property available for rent at an affordable price. Affordable properties now on rent in Hyderabad. House for rent available in Kothapet. The property is on the floor number 2 in a building which has 5 floors. Contact the owner for the exact price. Rent of Rs 14000 is quoted. Amount of Rs 28000 will be collected from tenant as security charges. This 1150 sq ft built up area property is available on rent at an affordable price. Property on rent near metro is available from 2022-02-21. 2 bathroom has bathtub provision....Read more,"14,000",2,1150,Flat, Semi Furnished ,Kothapet, Kothapet
154,"Prestige Ivy League,Kothaguda, Hyderabad",A semi-furnished flat for rent in a Prime locality of hitech cityRead more,"48,001",3,1740,Flat, Semi Furnished ,Prestige Ivy League, Kothaguda
155,"Aparna Cyber Life,Serilingampally, Hyderabad","Beautiful, spacious apartment in a well maintained gated community, is available for rent. The property is right next to Hyderabad fastest growing IT hubs . All necessary amenities like club house, swimming pool, jogging track, power backup, children park area, etc, are available inside the housing society. It is very secure, peaceful and beautiful society. The flat is semi furnished with modular kitchen, tubelights, fan, Geyser and wardobes. Contact us to arrange view.Read more","35,000",3,1805,Flat, Semi Furnished ,Aparna Cyber Life, Serilingampally
156,"Dr home Somajiguda,Raj Bhavan Quarters Colony, Somajiguda,Hyderabad",Fully ventilated Spacious 3bhk semifurnished independent floor for family at somajiguda near by main road Read more,"30,000",3,2100,Independent, Semi Furnished ,Dr home Somajiguda, Somajiguda
157,"Sai Kondapur,Green Hamlet, Kothaguda,Hyderabad",Affordable 3 BHK available for rent. Contact for Apartment near the metro station. Fully Furnished property near your office location at best price. Affordable property available in Kothaguda at unbelievable prices. Check out now. The property is on floor number 3 in a building with 6 floors. Budget properties on rent is now in Hyderabad. Property for rent available at an unbeatable price of Rs 25000. Amount of Rs 25000 will be collected from tenant as security charges. Find best 1860 sq ft (Carpet Area) property at an affordable rent here. Best 1860 sq ft built up area property available at b...Read more,"25,000",3,1860,Flat, Fully Furnished ,Sai Kondapur, Kothaguda
158,"BNR REALESTATES,Central Excise Colony, Amberpet,Hyderabad",This flat is available in very peaceful locationRead more,"16,000",2,1100,Flat, Semi Furnished ,BNR REALESTATES, Amberpet
159,"Gautham Nagar, Vanasthalipuram,Hyderabad","This is a well-designed 3 BHK Villa available for rent. It is situated in a prime location of Hyderabad at Vanasthalipuram. This modern Villa is Furnished. The 3 BHK unit fulfills all the needs of a modern lifestyle for families. The Villa provides complete comfort for the residents. The Villa lets you enjoy the lush greenery around. Meticulously designed to meet your housing needs, this unit has 3 bedrooms and 3 bathroom. It includes 2 balcony allowing residents to catch a glimpse of the city’s skyline. The carpet area is 2100 Square feet. The total built-up area is 2100 Square feet. The tota...Read more","20,000",3,2100,Villa, Semi Furnished ,Gautham Nagar, Vanasthalipuram
160,"Reddy apartment ,Ameerpet, Hyderabad","This 2 BHK Independent House is Fully Furnished. Spacious property available for rent only in Ameerpet. Mid-segment homes for rent now in Hyderabad. Property for rent available at an unbeatable price of Rs 20000. Rs 20000 will be taken as security money. Your dream 11000 sq ft (Carpet Area) property is now available at an affordable rent. This 11000 sq ft built up area property is available on rent at an affordable price. Beautiful, modern home available at affordable rent, check these 5 photographs. It is available for lease from 2022-02-20. This property has 2 big bath. Budget properties now...Read more","20,000",2,11000,Independent, Fully Furnished ,Reddy apartment , Ameerpet
161,"BRC Sri Hemadurga Sivahills,Anupama Homes, Manikonda,Hyderabad","If you are planning to rent a flat, you can consider this 3 BHK 1755 sqft flat situated in Narsingi.  This beautiful flat is immediately available in BRC Sri Hemadurga Sivahills. The rental rates are quite reasonable and set at an amount of Rs 25,000. Plus you need to pay 4000 per month as maintenance charges. We are very particular about tenants and prefer families only. If you rent the flat, you will have access to all facilities and amenities within the society. The property offers excellent connectivity to prime parts of the city. It also offers 1 covered parking. Strategically located nea...Read more","25,000",3,1404,Flat, Semi Furnished ,BRC Sri Hemadurga Sivahills, Manikonda
162,"Brindavan Colony, Habsiguda,Hyderabad","This 3 BHK Apartment is Semi-furnished. Sprawling property available at affordable rent in Habsiguda. Check out this property available on rent at Habsiguda,hyderabad. The property is on the floor number 2 in a building which has 5 floors. Properties on rent in Hyderabad, contact for more information. Check out this affordable property with built up area of 2200 sq ft on rent. Top flooring in 3 bathrooms. It is available for lease from 2020-10-07. The property has amenities like lift, cctv, and is a . Famous Janani Hospital, Siris Hospital, and Rajagiri Hospital Private Limited is walking dist...Read more","30,000",3,2200,Flat, Semi Furnished ,Brindavan Colony, Habsiguda
163,"Police Colony, Kondapur,Hyderabad","Rent 2 BHK property in the heart of Hyderabad city.  Rent this Apartment that matches your requirements and budget. Most coveted address now available for rent, contact for Semi-furnished property. Property for rent available in Kondapur. The property is on the floor number 1 in a building which has 5 floors. Rs 36000 will be taken as security money. Amount of Rs 18000 to be paid as rent. Check out this 1150 sq ft built up area property, available at an affordable rent. TThis 1050 sq ft (Carpet Area) property has big, sprawling rooms. Pocket-friendly housing project on rent now in the heart of...Read more","18,000",2,1150,Flat, Semi Furnished ,Police Colony, Kondapur
164,"Alkapur Township, Puppalaguda,Hyderabad","Are you looking for an affordable Apartment for rent in Hyderabad?. Here is a spacious 3 BHK Apartment in Puppalguda, promising a comfortable lifestyle. The Apartment is Furnished. Built on floor 2 out of a total 5 floors, it is an ideal home providing beautiful views of the city’s skyline. This property is designed to suit your space needs and has 3 bedrooms and 3 bathroom. It also includes 2 balcony. Nestled inside a gated society, this 3 BHK Apartment is a perfect accommodation for families seeking a contemporary lifestyle. The built-up area of the residential property is 2100 Square feet. ...Read more","35,000",3,2100,Flat, Fully Furnished ,Alkapur Township, Puppalaguda
165,"Sri Aditya Hill Top,Film Nagar, Jubilee Hills,Hyderabad","Check out this sprawling 3 BHK property available for rent. Neat and clean, this Semi-furnished property is just what you were looking for. Apartment for rent at a location you have always aspired to live in. Luxury lifestyle in the heart of Hyderabad available now. Property for rent available in Film Nagar. The property is on floor number 1 in a building with 6 floors. Affordable property on rent with only Rs 225000 as security charges. Contact the owner for the exact price. Rent of Rs 75000 is quoted. Check out this affordable property with built up area of 2800 sq ft on rent. Hot and cold w...Read more","75,000",3,2800,Flat, Semi Furnished ,Sri Aditya Hill Top, Jubilee Hills
166,"Raghavendra Colony, Kondapur,Hyderabad","Your search for a spacious home at affordable rent in Hyderabad ends here. The 1 BHK property offers a serene environment with excellent views of the city. This Independent House is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is an unfurnished Independent House. The Independent House has been thoughtfully designed to meet a family’s space needs, with 1 bedroom. It includes 1 bathroom. There are 1 balcony that lets you enjoy scenic views. The built-up area of this Independent House is 2200 Square feet. The carpet area is 900 Square feet. Residents n...Read more","8,000",1,2200,Independent, Semi Furnished ,Raghavendra Colony, Kondapur
